tag,form,prefix,suffix
ABK,republic,,共和国
ADU,republic,,共和国
AFG,kingdom,,王国
ALB,kingdom,,王国
ALG,peoples_democratic_republic,,民主人民共和国
ALT,republic,,共和国
ANG,republic,,共和国
ARB,united_emirates,,首長国連邦
ARB,united_republic,,連合共和国
ARG,republic,,共和国
ARM,republic,,共和国
AST,commonwealth,,連邦
AUS,federal_state,,連邦国
AZR,republic,,共和国
BAH,state,,国
BAN,peoples_republic,,人民共和国
BAY,kingdom,,王国
BEL,kingdom,,王国
BHU,kingdom,,王国
BLR,republic,,共和国
BLZ,republic,,共和国
BOL,republic,,共和国
BOS,state,,国
BOT,republic,,共和国
BRA,united_states,,合衆国
BRD,republic,,共和国
BRI,state,,国
BRM,state,,国
BSK,republic,,共和国
BUK,republic,,共和国
BUL,kingdom,,王国
BYA,republic,,共和国
CAM,kingdom,,王国
CAN,commonwealth,,連邦
CAR,republic,,共和国
CAT,republic,,共和国
CAY,republic,,共和国
CHA,republic,,共和国
CHI,minguo,,民国
CHI,republic,,共和国
CHL,republic,,共和国
CKK,republic,,共和国
CMR,republic,,共和国
COG,republic,,共和国
COL,republic,,共和国
COR,republic,,共和国
COS,republic,,共和国
CRC,republic,,共和国
CRI,peoples_republic,,人民共和国
CRI,republic,,共和国
CRO,republic,,共和国
CUB,republic,,共和国
CYP,republic,,共和国
CZE,republic,,共和国
DAG,republic,,共和国
DAH,republic,,共和国
DEN,kingdom,,王国
DJI,republic,,共和国
DNZ,free_city,自由都市,
DOM,republic,,共和国
DON,cossack_republic,,・コサック共和国
DON,republic,,共和国
DVN,republic,,共和国
ECU,republic,,共和国
EGR,republic,,共和国
EGY,arab_republic,,・アラブ共和国
EGY,kingdom,,王国
ELS,republic,,共和国
ENG,kingdom,,王国
EQG,republic,,共和国
ERI,state,,国
EST,republic,,共和国
ETH,empire,,帝国
FEA,republic,,共和国
FIJ,republic,,共和国
FIN,republic,,共和国
FNG,warlord,,軍閥
FRA,republic,,共和国
FSM,federated_states,,連邦
GAB,republic,,共和国
GAM,republic,,共和国
GBR,kingdom,,王国
GDL,repbulic,,共和国
GEO,republic,,共和国
GER,state,,国
GHA,republic,,共和国
GLC,state,,国
GNA,republic,,共和国
GNB,republic,,共和国
GRE,kingdom,,王国
GUA,republic,,共和国
GUM,state,,国
GXC,warlord,,軍閥
GYA,republic,,共和国
HAI,republic,,共和国
HAN,kingdom,,王国
HAS,kingdom,,王国
HAW,kingdom,,王国
HND,republic,,共和国
HOL,kingdom,,王国
HON,republic,,共和国
