tag,form,prefix,suffix

MEX,united_states,,合衆国

GUA,republic,,共和国

CUB,republic,,共和国

DOM,republic,,共和国

HAI,republic,,共和国

COL,republic,,共和国

VEN,republic,,共和国

ECU,republic,,共和国

BOL,republic,,共和国

PAR,republic,,共和国

URG,oriental_republic,,東方共和国

ARG,republic,,共和国

BRA,united_states,,合衆国

BRA,state,,国

PHI,republic,,共和国

SIA,kingdom,,王国

BRM,republic,,共和国

TIB,kingdom,,王国

MEN,empire,,帝国

NEP,kingdom,,王国

BHU,kingdom,,王国

SHX,military_clique,,軍閥

GXC,military_clique,,軍閥

SIK,military_clique,,軍閥

BUK,khanate,,・ハン国

KHI,khanate,,・ハン国

ETH,empire,,帝国

EGY,sultanate,,・スルタン国

EGY,kingdom,,王国

GER,rate_republic,,・レーテ共和国

POL,rada_republic,,・ラーダ共和国

DEN,kingdom,,王国

FIN,republic,,共和国

ROM,kingdom,,王国

BUL,principality,,公国

BUL,khanate,,・ハン国

BUL,tsardom,,・ツァール国

SER,kingdom,,王国

GRE,kingdom,,王国

ALB,kingdom,,王国

SWI,confederation,,連邦

CZE,kingdom,,王国

LUX,grand_duchy,,大公国

AUS,lands,,諸邦

HUN,crown_lands,,の聖イシュトヴァーンの王冠諸邦

BEL,kingdom,,王国

SPR,kingdom,,王国

POR,kingdom,,王国

CRI,peoples_republic,,人民共和国

UKR,peoples_republic,,人民共和国

RUS,empire,,帝国

BLR,SOV_socialist_republic,,・ソビエト社会主義共和国

OTT,sublime_state,崇高なる,国

HYD,princely_state,,藩王国

FRA,kingdom,,王国

TEX,administrative_committee,,施政委員会

PRU,socialist_republic,,社会主義共和国

CHL,socialist_republic,,社会主義共和国

ETR,islamic_republic,,・イスラム共和国

KUM,khanate,,・ハン国

MAN,federation,,聯邦

INS,military_government,,軍政府

BRN,sultanate,,・スルタン国

BLI,artist_state,,芸術国

CHI,council_republic,,評議会共和国

HNN,military_clique,,軍閥

SCH,military_clique,,軍閥

SHD,military_clique,,軍閥

FUJ,military_clique,,軍閥

NIG,ma_military_clique,,馬軍閥

QIG,ma_military_clique,,馬軍閥

GAN,ma_military_clique,,馬軍閥

SIK,ma_military_clique,,馬軍閥

CNK,nationalist_government,,国民政府

WHN,nationalist_government,,国民政府

SKT,caliphate,,・カリフ国

UKR,free_territory,,自由地区

SCC,SOV_federative_socialist_republic,,・ソビエト連邦社会主義共和国

XIB,military_clique,,軍閥

NTL,state,,国

ABK,republic,,共和国

AFG,emirate,,首長国

ALG,peoples_democratic_republic,,人民民主共和国

ALT,republic,,共和国

ANG,peoples_republic,,人民共和国

ARB,federation,,連邦

