tag,japanese,color,culture,continent,type
ABK,アブハジア,0 153 62,Middle East,アジア,バニラ
AFG,アフガニスタン,64 160 167,Middle East,アジア,バニラ
ALT,アルタイ,214 235 255,Asia,アジア,バニラ
ARM,アルメニア,176 102 180,Middle East,アジア,バニラ
AZR,アゼルバイジャン,69 151 49,Middle East,アジア,バニラ
BAN,バングラデシュ,0 106 78,Asia,アジア,バニラ
BHU,ブータン,172 122 88,Asia,アジア,バニラ
BRM,ビルマ,76 153 0,Asia,アジア,バニラ
BUK,ブハラ,0 154 48,Asia,アジア,バニラ
BYA,ブリヤート,3 44 157,Asia,アジア,バニラ
CAM,カンボジア,100 71 150,Asia,アジア,バニラ
CHI,中華,0 0 149,Asia,アジア,バニラ
CKK,チュクチ,111 95 120,Asia,アジア,バニラ
FEA,極東,1 28 88,Asia,アジア,バニラ
GEO,グルジア,255 150 150,Middle East,アジア,バニラ
GXC,広西,129 142 158,Asia,アジア,バニラ
IND,インド,239 201 2,Asia,アジア,バニラ
INS,インドネシア,40 50 120,Asia,アジア,バニラ
IRQ,イラク,178 114 99,Middle East,アジア,バニラ
ISR,イスラエル,0 73 144,Middle East,アジア,バニラ
JAP,日本,252 150 120,Asia,アジア,バニラ
JOR,ヨルダン,111 55 78,Middle East,アジア,バニラ
KAZ,カザフスタン,0 175 202,Asia,アジア,バニラ
KHI,ヒヴァ,16 46 42,Asia,アジア,バニラ
KKP,カラカルパクスタン,255 195 29,Asia,アジア,バニラ
KOR,韓,41 23 110,Asia,アジア,バニラ
KUR,クルディスタン,234 179 30,Middle East,アジア,バニラ
KUW,クウェート,153 76 0,Middle East,アジア,バニラ
KYR,キルギス,255 116 0,Asia,アジア,バニラ
LAO,ラオス,176 102 136,Asia,アジア,バニラ
LEB,レバノン,130 150 60,Middle East,アジア,バニラ
MAL,マラヤ,213 169 121,Asia,アジア,バニラ
MAN,満州,255 120 71,Asia,アジア,バニラ
MEN,蒙古,185 255 152,Asia,アジア,バニラ
