tag,japanese,color,culture,continent,type
ABK,アブハジア,0 153 62,Middle East,アジア,バニラ
ADU,アンダルシア,240 230 155,Western Europe,ヨーロッパ,バニラ
AFA,アファール,153 0 51,Africa,アフリカ,バニラ
AFG,アフガニスタン,64 160 167,Middle East,アジア,バニラ
ALB,アルバニア,149 45 102,Eastern Europe,ヨーロッパ,バニラ
ALG,アルジェリア,0 98 51,Africa,アフリカ,バニラ
ALT,アルタイ,214 235 255,Asia,アジア,バニラ
AMH,アムハラ,51 102 153,Africa,アフリカ,バニラ
ANG,アンゴラ,168 80 16,Africa,アフリカ,バニラ
ARG,アルゼンチン,116 172 223,South America,新大陸,バニラ
ARM,アルメニア,176 102 180,Middle East,アジア,バニラ
AST,オーストラリア,57 143 97,Commonwealth,大洋州,バニラ
AUS,オーストリア,194 198 215,Western Europe,ヨーロッパ,バニラ
AZR,アゼルバイジャン,69 151 49,Middle East,アジア,バニラ
BAH,バハマ,0 204 204,South America,新大陸,バニラ
BAN,バングラデシュ,0 106 78,Asia,アジア,バニラ
BAY,バイエルン,0 152 212,Western Europe,ヨーロッパ,バニラ
BEG,ベニシャングル＝グムズ,255 212 128,Africa,アフリカ,バニラ
BEL,ベルギー,250 224 66,Western Europe,ヨーロッパ,バニラ
BHU,ブータン,172 122 88,Asia,アジア,バニラ
BLR,ベラルーシ,180 220 190,Eastern Europe,ヨーロッパ,バニラ
BLZ,ベリーズ,0 60 135,South America,新大陸,バニラ
BOL,ボリビア,255 180 136,South America,新大陸,バニラ
BOS,ボスニア,255 240 40,Eastern Europe,ヨーロッパ,バニラ
BOT,ボツワナ,182 212 233,Africa,アフリカ,バニラ
BRA,ブラジル,76 145 63,South America,新大陸,バニラ
BRD,ブルンジ,45 186 71,Africa,アフリカ,バニラ
BRI,ブルターニュ,170 170 170,Western Europe,ヨーロッパ,バニラ
BRM,ビルマ,76 153 0,Asia,アジア,バニラ
BSK,バシコルトスタン,85 157 166,Eastern Europe,ヨーロッパ,バニラ
BUK,ブハラ,0 154 48,Asia,アジア,バニラ
BUL,ブルガリア,0 150 110,Eastern Europe,ヨーロッパ,バニラ
BYA,ブリヤート,3 44 157,Asia,アジア,バニラ
CAM,カンボジア,100 71 150,Asia,アジア,バニラ
CAN,カナダ,119 48 39,Commonwealth,新大陸,バニラ
CAR,中央アフリカ,210 16 52,Africa,アフリカ,バニラ
CAT,カタルーニャ,255 128 0,Western Europe,ヨーロッパ,バニラ
CAY,カイエンヌ,7 137 48,South America,新大陸,バニラ
CHA,チャド,254 203 0,Africa,アフリカ,バニラ
CHI,中華,0 0 149,Asia,アジア,バニラ
