tag,form,prefix,suffix
ABK,republic,,共和国
ADR,co-principality,,共同公国
ADR,republic,,共和国
ADR,republic_classical_communism,,社会主義共和国
ADR,republic_progressive_communism,,社会主義共和国
ADU,republic,,共和国
ADY,republic,,共和国
AFG,kingdom,,王国
AFG,republic,,共和国
AFG,republic_classical_communism,,民主共和国
AFG,republic_progressive_communism,,民主共和国
AKS,republic,,共和国
ALB,kingdom,,王国
ALB,republic,,共和国
ALB,republic_classical_communism,,社会主義人民共和国
ALB,republic_progressive_communism,,社会主義人民共和国
ALG,peoples_democratic_republic,,民主人民共和国
ALS,realm,,王国
ALS,republic,,共和国
ALT,republic,,共和国
AMR,republic,,共和国
ANG,republic,,共和国
ANG,republic_classical_communism,,人民共和国
ANG,republic_progressive_communism,,人民共和国
ARC,council,,評議会
ARG,republic,,共和国
ARG,republic_classical_communism,,人民共和国
ARG,republic_progressive_communism,,人民共和国
ARK,liberation_army,,解放軍
ARM,republic,,共和国
AST,commonwealth,,連邦
AST,republic,,共和国
AST,republic_classical_communism,,民主共和国
AST,republic_progressive_communism,,民主共和国
ATG,republic,,共和国
ATL,federation,,連邦
AUS,empire,,帝国
AUS,kingdom,,王国
AUS,republic,,共和国
AUS,social_republic,,社会共和国
AUS,workers_republic,,労働者共和国
AZR,republic,,共和国
BAH,state,,国
BAL,federal_republic,,連邦共和国
BAL,federal_republic_classical_communism,,社会主義連邦共和国
BAL,federal_republic_progressive_communism,,社会主義連邦共和国
BAL,federation,,連邦
BAL,united_duchy,,連合公国
BAN,peoples_republic,,人民共和国
BAY,kingdom,,王国
BEL,kingdom,,王国
BEL,republic,,共和国
BEL,republic_classical_communism,,人民共和国
BEL,republic_progressive_communism,,人民共和国
BHR,kingdom,,王国
BHR,republic,,共和国
BHR,republic_classical_communism,,民主共和国
BHR,republic_progressive_communism,,民主共和国
BHU,kingdom,,王国
BHU,republic,,共和国
BHU,republic_classical_communism,,人民共和国
BHU,republic_progressive_communism,,人民共和国
BLK,federation,,連邦
BLK,federation_anarchism,,無政府主義連邦
BLK,federation_classical_communism,,社会主義連邦
BLK,federation_progressive_communism,,社会主義連邦
BLK,united_kingdom,,連合王国
BLR,national_republic,,国民共和国
BLR,republic,,共和国
BLZ,republic,,共和国
BOL,plurinational_state,,多民族国
BOM,republic,,共和国
BOS,republic,,共和国
BOS,republic_classical_communism,,社会主義共和国
BOS,republic_progressive_communism,,社会主義共和国
