tag,japanese,color,culture,continent,type
ABK,アブハジア,116 145 0,Asia,アジア,バニラ
ADU,アンダルシア,240 230 155,Western Europe,ヨーロッパ,バニラ
AFG,アフガニスタン,64 160 167,Middle East,アジア,バニラ
ALB,アルバニア,149 45 102,Eastern Europe,ヨーロッパ,バニラ
ALG,アルジェリア,153 102 51,Africa,アフリカ,バニラ
ALT,アルタイ,51 153 255,Asia,アジア,バニラ
ANG,アンゴラ,37 140 61,Africa,アフリカ,バニラ
ARG,アルゼンチン,145 157 236,South America,新大陸,バニラ
ARM,アルメニア,176 102 180,Middle East,アジア,バニラ
AST,オーストラリア,57 143 97,Commonwealth,大洋州,バニラ
AUS,オーストリア,194 198 215,Western Europe,ヨーロッパ,バニラ
AZR,アゼルバイジャン,69 151 49,Middle East,アジア,バニラ
BAH,バハマ,0 50 70,South America,新大陸,バニラ
BAN,バングラデシュ,204 204 0,Asia,アジア,バニラ
BAY,バイエルン,0 152 212,Western Europe,ヨーロッパ,バニラ
BEL,ベルギー,193 171 8,Western Europe,ヨーロッパ,バニラ
BHU,ブータン,172 122 88,Asia,アジア,バニラ
BLR,ベラルーシ,180 220 190,Eastern Europe,ヨーロッパ,バニラ
BLZ,ベリーズ,0 204 204,South America,新大陸,バニラ
BOL,ボリビア,255 180 136,South America,新大陸,バニラ
BOS,ボスニア,230 128 0,Eastern Europe,ヨーロッパ,バニラ
BOT,ボツワナ,11 132 112,Africa,アフリカ,バニラ
BRA,ブラジル,76 145 63,South America,新大陸,バニラ
BRD,ブルンジ,204 153 0,Africa,アフリカ,バニラ
BRI,ブルターニュ,118 99 151,Western Europe,ヨーロッパ,バニラ
BRM,ビルマ,76 153 0,Asia,アジア,バニラ
BSK,バシコルトスタン,255 215 0,Eastern Europe,ヨーロッパ,バニラ
BUK,ブハラ,146 106 160,Asia,アジア,バニラ
BUL,ブルガリア,51 155 0,Eastern Europe,ヨーロッパ,バニラ
BYA,ブリヤート,0 57 166,Asia,アジア,バニラ
CAM,カンボジア,100 71 150,Asia,アジア,バニラ
CAN,カナダ,119 48 39,Commonwealth,新大陸,バニラ
CAR,中央アフリカ,153 0 0,Africa,アフリカ,バニラ
CAT,カタルーニャ,213 132 76,Western Europe,ヨーロッパ,バニラ
CAY,カイエンヌ,7 137 48,South America,新大陸,バニラ
CHA,チャド,204 255 204,Africa,アフリカ,バニラ
CHI,中華,0 0 149,Asia,アジア,バニラ
CHL,チリ,200 140 120,South America,新大陸,バニラ
CHU,チュヴァシ,197 97 8,Eastern Europe,ヨーロッパ,バニラ
CIN,チェチェン＝イングーシ,255 108 0,Eastern Europe,ヨーロッパ,バニラ
CKK,チュクチ,143 20 20,Asia,アジア,バニラ
CMR,カメルーン,255 51 0,Africa,アフリカ,バニラ
COG,コンゴ,152 159 209,Africa,アフリカ,バニラ
COL,コロンビア,222 187 91,South America,新大陸,バニラ
COR,コルシカ,106 178 46,Western Europe,ヨーロッパ,バニラ
